"[1, 1, 427, 324, 1679696561.351535]","[2, 1, 327, 276, 1679696561.351535]","[3, 1, 236, 290, 1679696561.351535]","[4, 3, 222, 231, 1679696561.351535]","[5, 1, 282, 252, 1679696561.351535]"
"[1, 1, 424, 322, 1679696561.406128]","[2, 1, 326, 276, 1679696561.406128]","[3, 1, 236, 290, 1679696561.406128]","[4, 3, 222, 231, 1679696561.406128]","[5, 1, 281, 252, 1679696561.406128]"
"[1, 1, 422, 321, 1679696561.45186]","[2, 1, 325, 275, 1679696561.45186]","[3, 1, 236, 290, 1679696561.45186]","[4, 3, 222, 231, 1679696561.45186]","[5, 1, 280, 251, 1679696561.45186]"
"[1, 1, 419, 319, 1679696561.488766]","[2, 1, 324, 275, 1679696561.488766]","[3, 1, 236, 290, 1679696561.488766]","[4, 3, 222, 231, 1679696561.488766]","[5, 1, 279, 251, 1679696561.488766]"
"[1, 1, 417, 318, 1679696561.539721]","[2, 1, 323, 274, 1679696561.539721]","[3, 1, 237, 290, 1679696561.539721]","[4, 3, 222, 231, 1679696561.539721]","[5, 1, 278, 250, 1679696561.539721]"
"[1, 1, 414, 316, 1679696561.588039]","[2, 1, 322, 274, 1679696561.588039]","[3, 1, 237, 290, 1679696561.588039]","[4, 3, 222, 231, 1679696561.588039]","[5, 1, 278, 250, 1679696561.588039]"
"[1, 1, 411, 315, 1679696561.633908]","[2, 1, 321, 273, 1679696561.633908]","[3, 1, 236, 290, 1679696561.633908]","[4, 3, 222, 232, 1679696561.633908]","[5, 1, 277, 249, 1679696561.633908]"
"[1, 1, 409, 314, 1679696561.681935]","[2, 1, 319, 272, 1679696561.681935]","[3, 1, 236, 290, 1679696561.681935]","[4, 3, 223, 232, 1679696561.681935]","[5, 1, 276, 249, 1679696561.681935]"
"[1, 1, 406, 313, 1679696561.720925]","[2, 1, 318, 272, 1679696561.721925]","[3, 1, 236, 290, 1679696561.721925]","[4, 3, 223, 232, 1679696561.721925]","[5, 1, 276, 248, 1679696561.721925]"
"[1, 1, 404, 312, 1679696561.753476]","[2, 1, 317, 271, 1679696561.753476]","[3, 1, 236, 290, 1679696561.753476]","[4, 3, 223, 232, 1679696561.753476]","[5, 1, 275, 248, 1679696561.753476]"
"[1, 1, 401, 310, 1679696561.81137]","[2, 1, 316, 271, 1679696561.81137]","[3, 1, 236, 290, 1679696561.81137]","[4, 3, 223, 232, 1679696561.81137]","[5, 1, 274, 248, 1679696561.81137]"
"[1, 1, 399, 309, 1679696561.853599]","[2, 1, 315, 270, 1679696561.853599]","[3, 1, 236, 290, 1679696561.853599]","[4, 3, 223, 232, 1679696561.853599]","[5, 1, 274, 247, 1679696561.853599]"
"[1, 1, 396, 308, 1679696561.899089]","[2, 1, 315, 270, 1679696561.899089]","[3, 1, 236, 290, 1679696561.899089]","[4, 3, 223, 232, 1679696561.899089]","[5, 1, 273, 247, 1679696561.899089]"
"[1, 1, 394, 306, 1679696561.939935]","[2, 1, 314, 269, 1679696561.939935]","[3, 1, 237, 290, 1679696561.939935]","[4, 3, 223, 232, 1679696561.939935]","[5, 1, 272, 247, 1679696561.939935]"
"[1, 1, 392, 305, 1679696561.987806]","[2, 1, 313, 268, 1679696561.987806]","[3, 1, 237, 290, 1679696561.987806]","[4, 3, 223, 232, 1679696561.987806]","[5, 1, 272, 246, 1679696561.987806]"
"[1, 1, 389, 304, 1679696562.03446]","[2, 1, 312, 268, 1679696562.03446]","[3, 1, 237, 290, 1679696562.03446]","[4, 3, 223, 232, 1679696562.03446]","[5, 1, 271, 246, 1679696562.03446]"
"[1, 1, 387, 303, 1679696562.080088]","[2, 1, 310, 267, 1679696562.080088]","[3, 1, 237, 290, 1679696562.080088]","[4, 3, 223, 232, 1679696562.080088]","[5, 1, 270, 246, 1679696562.080088]"
"[1, 1, 385, 302, 1679696562.137707]","[2, 1, 309, 266, 1679696562.137707]","[3, 1, 237, 290, 1679696562.137707]","[4, 0, 223, 232, 1679696562.137707]","[5, 1, 269, 245, 1679696562.137707]"
"[1, 1, 383, 301, 1679696562.172462]","[2, 1, 308, 266, 1679696562.172462]","[3, 1, 237, 290, 1679696562.172462]","[4, 0, 224, 233, 1679696562.172462]","[5, 1, 269, 245, 1679696562.172462]"
"[1, 1, 380, 300, 1679696562.219329]","[2, 1, 306, 265, 1679696562.219329]","[3, 1, 237, 290, 1679696562.219329]","[4, 0, 224, 233, 1679696562.219329]","[5, 1, 268, 244, 1679696562.219329]"
"[1, 1, 378, 299, 1679696562.273885]","[2, 1, 305, 264, 1679696562.273885]","[3, 1, 237, 290, 1679696562.273885]","[4, 0, 223, 233, 1679696562.273885]","[5, 1, 268, 244, 1679696562.273885]"
"[1, 1, 376, 298, 1679696562.314067]","[2, 1, 304, 264, 1679696562.314067]","[3, 1, 237, 290, 1679696562.314067]","[4, 0, 223, 233, 1679696562.314067]","[5, 1, 267, 244, 1679696562.314067]"
"[1, 1, 374, 297, 1679696562.360474]","[2, 1, 303, 263, 1679696562.360474]","[3, 1, 237, 290, 1679696562.360474]","[4, 0, 223, 233, 1679696562.360474]","[5, 1, 266, 243, 1679696562.360474]"
"[1, 1, 372, 296, 1679696562.401126]","[2, 1, 302, 262, 1679696562.401126]","[3, 1, 237, 290, 1679696562.401126]","[4, 0, 223, 233, 1679696562.401126]","[5, 1, 266, 243, 1679696562.401126]"
"[1, 1, 370, 295, 1679696562.438256]","[2, 1, 301, 262, 1679696562.438256]","[3, 1, 236, 290, 1679696562.438256]","[4, 0, 224, 233, 1679696562.438256]","[5, 1, 265, 242, 1679696562.438256]"
"[1, 1, 368, 294, 1679696562.485709]","[2, 1, 300, 261, 1679696562.485709]","[3, 1, 236, 290, 1679696562.485709]","[4, 0, 224, 233, 1679696562.485709]","[5, 1, 264, 242, 1679696562.485709]"
"[1, 1, 367, 293, 1679696562.53525]","[2, 1, 299, 261, 1679696562.53525]","[3, 1, 236, 291, 1679696562.53525]","[4, 0, 224, 233, 1679696562.53525]","[5, 1, 263, 241, 1679696562.53525]"
"[1, 1, 365, 292, 1679696562.578004]","[2, 1, 298, 260, 1679696562.578004]","[3, 1, 236, 291, 1679696562.578004]","[4, 0, 224, 233, 1679696562.578004]","[5, 1, 263, 241, 1679696562.578004]"
"[1, 1, 363, 291, 1679696562.627769]","[2, 1, 297, 259, 1679696562.627769]","[3, 1, 236, 291, 1679696562.627769]","[4, 0, 225, 233, 1679696562.627769]","[5, 1, 262, 241, 1679696562.627769]"
"[1, 1, 361, 290, 1679696562.67758]","[2, 1, 296, 259, 1679696562.67758]","[3, 1, 236, 290, 1679696562.67758]","[4, 0, 225, 233, 1679696562.67758]","[5, 1, 262, 241, 1679696562.67758]"
"[1, 1, 359, 289, 1679696562.721289]","[2, 1, 295, 259, 1679696562.721289]","[3, 1, 236, 291, 1679696562.721289]","[4, 0, 225, 234, 1679696562.721289]","[5, 1, 261, 240, 1679696562.721289]"
"[1, 1, 358, 288, 1679696562.764165]","[2, 1, 294, 258, 1679696562.764165]","[3, 1, 236, 291, 1679696562.764165]","[4, 0, 225, 234, 1679696562.764165]","[5, 1, 260, 240, 1679696562.764165]"
"[1, 1, 356, 287, 1679696562.816885]","[2, 1, 293, 257, 1679696562.816885]","[3, 1, 235, 291, 1679696562.816885]","[4, 0, 225, 234, 1679696562.816885]","[5, 1, 260, 240, 1679696562.816885]"
"[1, 1, 355, 286, 1679696562.859393]","[2, 1, 292, 257, 1679696562.859393]","[3, 1, 235, 291, 1679696562.859393]","[4, 0, 225, 234, 1679696562.859393]","[5, 1, 259, 240, 1679696562.859393]"
"[1, 1, 353, 285, 1679696562.910082]","[2, 1, 291, 256, 1679696562.910082]","[3, 1, 234, 291, 1679696562.910082]","[4, 0, 225, 234, 1679696562.910082]","[5, 1, 259, 239, 1679696562.910082]"
"[1, 1, 352, 284, 1679696562.960373]","[2, 1, 291, 256, 1679696562.960373]","[3, 1, 234, 290, 1679696562.960373]","[4, 0, 226, 234, 1679696562.960373]","[5, 1, 258, 239, 1679696562.960373]"
"[1, 1, 350, 284, 1679696562.997573]","[2, 1, 290, 255, 1679696562.997573]","[3, 1, 234, 290, 1679696562.997573]","[4, 0, 226, 234, 1679696562.997573]","[5, 1, 257, 239, 1679696562.997573]"
"[1, 1, 348, 282, 1679696563.049549]","[2, 1, 289, 255, 1679696563.049549]","[3, 1, 234, 290, 1679696563.049549]","[4, 0, 226, 235, 1679696563.049549]","[5, 1, 257, 238, 1679696563.049549]"
