"[1, 1, 286, 255, 1679695992.426181]","[2, 1, 236, 291, 1679695992.426181]","[3, 1, 443, 332, 1679695992.426181]","[4, 1, 334, 281, 1679695992.426181]","[5, 0, 221, 230, 1679695992.426181]","[6, 3, 221, 231, 1679695992.426181]"
"[1, 1, 285, 255, 1679695992.473283]","[2, 1, 236, 291, 1679695992.473283]","[3, 1, 439, 331, 1679695992.473283]","[4, 1, 332, 279, 1679695992.473283]","[5, 0, 221, 230, 1679695992.473283]","[6, 3, 221, 231, 1679695992.473283]"
"[1, 1, 285, 254, 1679695992.521632]","[2, 1, 236, 291, 1679695992.521632]","[3, 1, 436, 329, 1679695992.521632]","[4, 1, 331, 278, 1679695992.521632]","[5, 0, 222, 230, 1679695992.521632]","[6, 3, 221, 231, 1679695992.521632]"
"[1, 1, 284, 254, 1679695992.565485]","[2, 1, 236, 291, 1679695992.565485]","[3, 1, 433, 327, 1679695992.565485]","[4, 1, 329, 278, 1679695992.565485]","[5, 0, 222, 230, 1679695992.565485]","[6, 3, 222, 231, 1679695992.565485]"
"[1, 1, 283, 253, 1679695992.611551]","[2, 1, 236, 291, 1679695992.611551]","[3, 1, 430, 325, 1679695992.611551]","[4, 1, 328, 277, 1679695992.611551]","[5, 0, 222, 230, 1679695992.611551]","[6, 3, 222, 231, 1679695992.611551]"
"[1, 1, 282, 252, 1679695992.660993]","[2, 1, 237, 291, 1679695992.660993]","[3, 1, 428, 324, 1679695992.660993]","[4, 1, 327, 276, 1679695992.660993]","[5, 0, 222, 230, 1679695992.660993]","[6, 3, 222, 231, 1679695992.660993]"
"[1, 1, 281, 252, 1679695992.707586]","[2, 1, 237, 291, 1679695992.707586]","[3, 1, 425, 323, 1679695992.707586]","[4, 1, 326, 276, 1679695992.707586]","[5, 0, 222, 230, 1679695992.707586]","[6, 3, 222, 231, 1679695992.707586]"
"[1, 1, 280, 251, 1679695992.753681]","[2, 1, 237, 291, 1679695992.75469]","[3, 1, 422, 322, 1679695992.75469]","[4, 1, 325, 275, 1679695992.75469]","[5, 0, 222, 231, 1679695992.75469]","[6, 3, 222, 231, 1679695992.75469]"
"[1, 1, 279, 251, 1679695992.800629]","[2, 1, 237, 291, 1679695992.800629]","[3, 1, 419, 320, 1679695992.800629]","[4, 1, 324, 275, 1679695992.800629]","[5, 0, 222, 231, 1679695992.800629]","[6, 3, 222, 231, 1679695992.800629]"
"[1, 1, 279, 250, 1679695992.847082]","[2, 1, 237, 291, 1679695992.847082]","[3, 1, 417, 319, 1679695992.847082]","[4, 1, 322, 274, 1679695992.847082]","[5, 0, 222, 231, 1679695992.847082]","[6, 3, 222, 232, 1679695992.847082]"
"[1, 1, 278, 250, 1679695992.894089]","[2, 1, 237, 291, 1679695992.894089]","[3, 1, 414, 317, 1679695992.894089]","[4, 1, 321, 274, 1679695992.894089]","[5, 0, 222, 232, 1679695992.894089]","[6, 3, 222, 232, 1679695992.894089]"
"[1, 1, 277, 250, 1679695992.940515]","[2, 1, 237, 291, 1679695992.940515]","[3, 1, 411, 316, 1679695992.940515]","[4, 1, 320, 273, 1679695992.940515]","[5, 0, 223, 231, 1679695992.940515]","[6, 3, 223, 232, 1679695992.940515]"
"[1, 1, 276, 249, 1679695992.987053]","[2, 1, 237, 291, 1679695992.987053]","[3, 1, 409, 315, 1679695992.987053]","[4, 1, 319, 273, 1679695992.987053]","[5, 0, 223, 231, 1679695992.987053]","[6, 3, 223, 231, 1679695992.988052]"
"[1, 1, 276, 249, 1679695993.034229]","[2, 1, 237, 291, 1679695993.034229]","[3, 1, 406, 313, 1679695993.034229]","[4, 1, 318, 272, 1679695993.034229]","[5, 3, 223, 231, 1679695993.034229]","[6, 0, 223, 231, 1679695993.034229]"
