"[1, 1, 427, 324, 1679696314.988274]","[2, 1, 327, 276, 1679696314.988274]","[3, 1, 281, 253, 1679696314.988274]","[4, 1, 235, 290, 1679696314.988274]","[5, 3, 221, 231, 1679696314.988274]"
"[1, 1, 424, 322, 1679696315.040432]","[2, 1, 326, 275, 1679696315.040432]","[3, 1, 281, 252, 1679696315.040432]","[4, 1, 235, 290, 1679696315.040432]","[5, 3, 222, 231, 1679696315.040432]"
"[1, 1, 421, 321, 1679696315.087083]","[2, 1, 325, 275, 1679696315.087083]","[3, 1, 280, 252, 1679696315.087083]","[4, 1, 235, 290, 1679696315.087083]","[5, 3, 222, 232, 1679696315.087083]"
"[1, 1, 419, 319, 1679696315.12679]","[2, 1, 324, 274, 1679696315.12679]","[3, 1, 279, 251, 1679696315.12679]","[4, 1, 235, 290, 1679696315.12679]","[5, 3, 222, 232, 1679696315.12679]"
"[1, 1, 416, 318, 1679696315.175426]","[2, 1, 323, 274, 1679696315.175426]","[3, 1, 278, 250, 1679696315.175426]","[4, 1, 235, 290, 1679696315.175426]","[5, 3, 222, 232, 1679696315.175426]"
"[1, 1, 413, 317, 1679696315.220207]","[2, 1, 322, 273, 1679696315.220207]","[3, 1, 277, 250, 1679696315.220207]","[4, 1, 235, 290, 1679696315.220207]","[5, 3, 222, 232, 1679696315.220207]"
"[1, 1, 411, 316, 1679696315.267166]","[2, 1, 320, 272, 1679696315.267166]","[3, 1, 276, 249, 1679696315.267166]","[4, 1, 235, 290, 1679696315.267166]","[5, 3, 222, 232, 1679696315.267166]"
"[1, 1, 408, 315, 1679696315.312957]","[2, 1, 319, 272, 1679696315.312957]","[3, 1, 276, 249, 1679696315.312957]","[4, 1, 235, 290, 1679696315.312957]","[5, 3, 222, 232, 1679696315.312957]"
"[1, 1, 406, 313, 1679696315.358995]","[2, 1, 317, 272, 1679696315.358995]","[3, 1, 275, 248, 1679696315.358995]","[4, 1, 235, 290, 1679696315.358995]","[5, 3, 222, 232, 1679696315.358995]"
"[1, 1, 403, 312, 1679696315.406658]","[2, 1, 316, 271, 1679696315.406658]","[3, 1, 274, 248, 1679696315.406658]","[4, 1, 235, 290, 1679696315.406658]","[5, 3, 223, 232, 1679696315.406658]"
"[1, 1, 401, 310, 1679696315.45192]","[2, 1, 314, 270, 1679696315.45192]","[3, 1, 274, 248, 1679696315.45192]","[4, 1, 235, 290, 1679696315.45192]","[5, 3, 223, 232, 1679696315.45192]"
"[1, 1, 398, 309, 1679696315.497534]","[2, 1, 313, 270, 1679696315.497534]","[3, 1, 273, 247, 1679696315.497534]","[4, 1, 235, 290, 1679696315.497534]","[5, 3, 223, 232, 1679696315.497534]"
"[1, 1, 395, 308, 1679696315.543537]","[2, 1, 313, 269, 1679696315.543537]","[3, 1, 272, 247, 1679696315.543537]","[4, 1, 235, 290, 1679696315.543537]","[5, 3, 223, 232, 1679696315.543537]"
"[1, 1, 393, 307, 1679696315.590553]","[2, 1, 312, 268, 1679696315.590553]","[3, 1, 271, 246, 1679696315.590553]","[4, 1, 235, 290, 1679696315.590553]","[5, 3, 223, 232, 1679696315.590553]"
"[1, 1, 391, 305, 1679696315.637304]","[2, 1, 311, 268, 1679696315.637304]","[3, 1, 271, 246, 1679696315.637304]","[4, 1, 235, 290, 1679696315.637304]","[5, 3, 223, 232, 1679696315.637304]"
"[1, 1, 389, 304, 1679696315.684052]","[2, 1, 311, 267, 1679696315.684052]","[3, 1, 270, 246, 1679696315.684052]","[4, 1, 235, 290, 1679696315.684052]","[5, 3, 223, 233, 1679696315.684052]"
"[1, 1, 387, 303, 1679696315.729608]","[2, 1, 309, 266, 1679696315.729608]","[3, 1, 270, 245, 1679696315.730563]","[4, 1, 235, 290, 1679696315.730563]","[5, 3, 223, 233, 1679696315.730563]"
